project_id,tw quantity,pc quantity,tw with pc quantity,tw_with_pc_percentage,cr_improvement_percentage_max,cr_improvement_percentage_mean,cr_improvement_percentage_min,cr_improvement_percentage_std,ipe_improvement_percentage_max,ipe_improvement_percentage_mean,ipe_improvement_percentage_min,ipe_improvement_percentage_std,tw_equal_cr_quantity,tw_improves_cr_quantity,tw_improves_cr_percentage,tw_equal_cr_percentage,tw_equal_ipe_quantity,tw_improves_ipe_quantity,tw_worsen_ipe_quantity,tw_improves_ipe_percentage,tw_equal_ipe_percentage,tw_improves_worsen_percentage
479,131,34,4,3.05,0,0,0,0,125,67.41,7.14,54.48,4,0,0,100,0,4,0,100,0,0
895,99,28,3,3.03,100,33.33,0,57.74,350,135.9,7.69,186.62,2,1,33.33333333,66.66666667,0,3,0,100,0,0
26,100,3,3,3,0,0,0,0,42.86,23.68,8.41,17.55,3,0,0,100,0,3,0,100,0,0
93,134,54,4,2.99,800,200,0,400,250,124.81,0,107.49,3,1,25,75,1,3,0,75,25,0
922,67,4,2,2.99,0,0,0,0,12.5,6.25,0,8.84,2,0,0,100,1,1,0,50,50,0
884,102,44,3,2.94,100,33.33,0,57.74,71.43,31.22,0,36.55,2,1,33.33333333,66.66666667,1,2,0,66.66666667,33.33333333,0
578,102,30,3,2.94,0,0,0,0,300,154.17,0,150.17,3,0,0,100,1,2,0,66.66666667,33.33333333,0
778,138,100,4,2.9,0,0,0,0,116.67,76.57,5,49.48,4,0,0,100,0,4,0,100,0,0
866,104,20,3,2.88,100,33.33,0,57.74,800,531.94,162.5,330.62,2,1,33.33333333,66.66666667,0,3,0,100,0,0
44,175,124,5,2.86,300,60,0,134.16,138.1,75.79,18.18,52.44,4,1,20,80,0,5,0,100,0,0
151,107,4,3,2.8,0,0,0,0,128.57,64.07,0,64.29,3,0,0,100,1,2,0,66.66666667,33.33333333,0
810,36,4,1,2.78,0,0,0,0,0,0,0,0,0,1,100,0,0,1,0,100,0,0
774,147,42,4,2.72,200,75,0,95.74,266.67,91,5.88,119.09,2,2,50,50,0,4,0,100,0,0
782,147,16,4,2.72,100,25,0,50,176.92,79.95,0,76.54,3,1,25,75,1,3,0,75,25,0
121,112,8,3,2.68,200,66.67,0,115.47,1100,457.49,133.33,556.44,2,1,33.33333333,66.66666667,0,3,0,100,0,0
85,153,38,4,2.61,100,75,0,50,437.5,160.17,4,190.59,1,3,75,25,0,4,0,100,0,0
412,77,46,2,2.6,100,100,100,0,60.98,56.39,51.79,6.5,0,2,100,0,0,2,0,100,0,0
493,154,18,4,2.6,200,50,0,100,266.67,95.55,0,117.46,3,1,25,75,1,3,0,75,25,0
217,77,5,2,2.6,200,100,0,141.42,153.66,100.52,47.37,75.16,1,1,50,50,0,2,0,100,0,0
214,78,2,2,2.56,0,0,0,0,433.33,246.67,60,263.98,2,0,0,100,0,2,0,100,0,0
836,119,18,3,2.52,100,33.33,0,57.74,266.67,95.37,6.94,148.38,2,1,33.33333333,66.66666667,0,3,0,100,0,0
37,122,51,3,2.46,0,0,0,0,616.67,241.8,28.57,325.67,3,0,0,100,0,3,0,100,0,0
825,123,280,3,2.44,650,216.67,0,375.28,125,90.56,46.69,40,2,1,33.33333333,66.66666667,0,3,0,100,0,0
481,82,258,2,2.44,0,0,0,0,40,39.23,38.46,1.09,2,0,0,100,0,2,0,100,0,0
655,41,2,1,2.44,0,0,0,0,0,0,0,0,1,0,0,100,0,1,0,100,0,0
718,209,54,5,2.39,300,80,0,130.38,250,76.7,-7.41,105.76,3,2,40,60,0,4,1,80,0,20
695,212,40,5,2.36,400,100,0,173.21,125,58.39,13.64,50.68,3,2,40,60,0,5,0,100,0,0
745,128,8,3,2.34,0,0,0,0,400,222.22,66.67,167.77,3,0,0,100,0,3,0,100,0,0
1006,43,8,1,2.33,0,0,0,0,0,0,0,0,0,1,100,0,0,1,0,100,0,0
1010,43,2,1,2.33,0,0,0,0,0,0,0,0,1,0,0,100,0,1,0,100,0,0
203,44,14,1,2.27,0,0,0,0,0,0,0,0,0,1,100,0,0,1,0,100,0,0
1003,44,2,1,2.27,0,0,0,0,0,0,0,0,1,0,0,100,0,1,0,100,0,0
157,44,1,1,2.27,0,0,0,0,0,0,0,0,1,0,0,100,0,1,0,100,0,0
693,224,63,5,2.23,300,160,0,114.02,100,49.37,-17.65,44.27,1,4,80,20,0,4,1,80,0,20
1002,45,12,1,2.22,0,0,0,0,0,0,0,0,1,0,0,100,0,1,0,100,0,0
699,227,176,5,2.2,200,60,0,89.44,150,55.55,0,59.96,3,2,40,60,1,4,0,80,20,0
682,227,20,5,2.2,0,0,0,0,400,153.33,0,166,5,0,0,100,2,3,0,60,40,0
607,92,46,2,2.17,100,50,0,70.71,714.29,368.26,22.22,489.37,1,1,50,50,0,2,0,100,0,0
729,185,18,4,2.16,200,50,0,100,45.45,32.37,0,21.65,3,1,25,75,1,3,0,75,25,0
499,140,44,3,2.14,50,16.67,0,28.87,1300,465.81,22.43,722.91,2,1,33.33333333,66.66666667,0,3,0,100,0,0
901,97,8,2,2.06,0,0,0,0,250,225,200,35.36,2,0,0,100,0,2,0,100,0,0
864,99,10,2,2.02,100,50,0,70.71,166.67,148.34,130,25.93,1,1,50,50,0,2,0,100,0,0
68,100,6625,2,2,900,450,0,636.4,175,116.83,58.66,82.26,1,1,50,50,0,2,0,100,0,0
593,100,10,2,2,0,0,0,0,200,144.45,88.89,78.57,2,0,0,100,0,2,0,100,0,0
661,51,18,1,1.96,0,0,0,0,0,0,0,0,1,0,0,100,0,1,0,100,0,0
554,102,10,2,1.96,0,0,0,0,20,13.85,7.69,8.7,2,0,0,100,0,2,0,100,0,0
152,102,2,2,1.96,0,0,0,0,372.73,240.21,107.69,187.41,2,0,0,100,0,2,0,100,0,0
876,104,110,2,1.92,500,375,250,176.78,151.04,124.62,98.2,37.36,0,2,100,0,0,2,0,100,0,0
872,104,20,2,1.92,0,0,0,0,566.67,383.34,200,259.27,2,0,0,100,0,2,0,100,0,0
245,52,2,1,1.92,0,0,0,0,0,0,0,0,0,1,100,0,0,1,0,100,0,0
562,106,44,2,1.89,600,300,0,424.26,101.37,50.69,0,71.68,1,1,50,50,1,1,0,50,50,0
692,212,18,4,1.89,100,50,0,57.74,77.78,34.6,0,32.23,2,2,50,50,1,3,0,75,25,0
150,107,7,2,1.87,0,0,0,0,45,42.29,39.58,3.83,2,0,0,100,0,2,0,100,0,0
987,54,8,1,1.85,0,0,0,0,0,0,0,0,0,1,100,0,0,1,0,100,0,0
731,163,8,3,1.84,0,0,0,0,900,388.89,0,462.28,3,0,0,100,1,2,0,66.66666667,33.33333333,0
55,166,137,3,1.81,100,33.33,0,57.74,233.33,103.46,-8.65,121.96,2,1,33.33333333,66.66666667,0,2,1,66.66666667,0,33.33333333
751,167,32,3,1.8,0,0,0,0,88.14,29.38,0,50.89,3,0,0,100,2,1,0,33.33333333,66.66666667,0
762,111,30,2,1.8,300,150,0,212.13,60,38.83,17.65,29.95,1,1,50,50,0,2,0,100,0,0
800,111,14,2,1.8,0,0,0,0,225,220.19,215.38,6.8,2,0,0,100,0,2,0,100,0,0
753,168,34,3,1.79,0,0,0,0,100,51.52,4.55,47.74,3,0,0,100,0,3,0,100,0,0
560,112,4,2,1.79,0,0,0,0,240,120,0,169.71,2,0,0,100,1,1,0,50,50,0
862,112,4,2,1.79,0,0,0,0,200,187.5,175,17.68,2,0,0,100,0,2,0,100,0,0
659,56,2,1,1.79,0,0,0,0,0,0,0,0,1,0,0,100,0,1,0,100,0,0
396,226,36,4,1.77,200,75,0,95.74,100,54.51,0,41.33,2,2,50,50,1,3,0,75,25,0
